Designator,Val,Package,Mid X,Mid Y ,Rotation,Layer,R Fix
C1,10uF,C_0805_2012Metric,127.3302,-96.4692,90,top,
C2,0.1uF,C_0603_1608Metric,127.1525,-86.5505,0,top,
C3,10uF,C_0805_2012Metric,126.746,-93.345,0,top,
C4,0.1uF,C_0603_1608Metric,127.3937,-76.3905,0,top,
C5,10uF,C_0805_2012Metric,127.381,-89.789,0,top,
C6,0.1uF,C_0603_1608Metric,127,-88.011,0,top,
C7,0.1uF,C_0603_1608Metric,130.8735,-91.4653,90,top,
C8,0.1uF,C_0603_1608Metric,113.919,-80.772,270,top,
C9,0.1uF,C_0603_1608Metric,113.0808,-96.774,90,top,
D1,D,D_SOD-123F,129.4384,-96.3422,90,top,
D2,LED,LED_0805_2012Metric,127.366,-80.899,0,top,180
J1,Conn_01x04,Harwin_M20-89004xx_1x04_P2.54mm_Horizontal,140.2085,-82.55,0,top,
R1,1k,R_0603_1608Metric,127.343,-82.6135,0,top,
R2,0,R_0603_1608Metric,127.127,-91.567,0,top,
R3,100,R_0603_1608Metric,131.3434,-97.1423,270,top,
R4,10k,R_0603_1608Metric,131.3561,-94.1706,90,top,
R5,10k,R_0603_1608Metric,129.4003,-92.3162,270,top,
U1,74LVC2G17,SOT-363_SC-70-6,127.3175,-78.5495,180,top,
U2,74LVC2G17,SOT-363_SC-70-6,127.4445,-84.7725,180,top,
U3,AP2112K-3.3,SOT-23-5,124.079,-96.2025,225,top,180
U4,ESP32-PICO-D4,QFN-48-1EP_7x7mm_P0.5mm_EP5.45x5.45mm,119.9896,-84.7852,135,top,`-90?
U5,74HC245,TSSOP-20_4.4x6.5mm_P0.65mm,118.0084,-93.6752,90,top,-90
U6,74HC245,TSSOP-20_4.4x6.5mm_P0.65mm,117.3988,-75.692,90,top,-90